names,date,sentences
Michael Oreskes,4/2/17,5725
Michael Oreskes,4/9/17,5131
Michael Oreskes,4/16/17,4757
Michael Oreskes,4/23/17,5897
Michael Oreskes,4/30/17,5719
Michael Oreskes,5/7/17,6335
Michael Oreskes,5/14/17,7860
Michael Oreskes,5/21/17,6058
Michael Oreskes,5/28/17,5643
Michael Oreskes,6/4/17,5948
Michael Oreskes,6/11/17,5789
Michael Oreskes,6/18/17,4772
Michael Oreskes,6/25/17,5420
Michael Oreskes,7/2/17,4284
Michael Oreskes,7/9/17,4920
Michael Oreskes,7/16/17,4890
Michael Oreskes,7/23/17,5085
Michael Oreskes,7/30/17,4763
Michael Oreskes,8/6/17,4732
Michael Oreskes,8/13/17,4654
Michael Oreskes,8/20/17,4563
Michael Oreskes,8/27/17,4898
Michael Oreskes,9/3/17,5208
Michael Oreskes,9/10/17,4986
Michael Oreskes,9/17/17,5307
Michael Oreskes,9/24/17,4559
Michael Oreskes,10/1/17,4790
Michael Oreskes,10/8/17,4455
Michael Oreskes,10/15/17,4619
Michael Oreskes,10/22/17,4275
Michael Oreskes,10/29/17,6214
Michael Oreskes,11/5/17,5537
Michael Oreskes,11/12/17,4164
Michael Oreskes,11/19/17,4036
Michael Oreskes,11/26/17,997
Andy Dick,1/1/17,1694
Andy Dick,1/8/17,1458
Andy Dick,1/15/17,1841
Andy Dick,1/22/17,2098
Andy Dick,1/29/17,1449
Andy Dick,2/5/17,1382
Andy Dick,2/12/17,1652
Andy Dick,2/19/17,1308
Andy Dick,2/26/17,1414
Andy Dick,3/5/17,1157
Andy Dick,3/12/17,1458
Andy Dick,3/19/17,1657
Andy Dick,3/26/17,1665
Andy Dick,4/2/17,1380
Andy Dick,4/9/17,1231
Andy Dick,4/16/17,1441
Andy Dick,4/23/17,1668
Andy Dick,4/30/17,1804
Andy Dick,5/7/17,1688
Andy Dick,5/14/17,1548
Andy Dick,5/21/17,1553
Andy Dick,5/28/17,1529
Andy Dick,6/4/17,1836
Andy Dick,6/11/17,1495
Andy Dick,6/18/17,1447
Andy Dick,6/25/17,1648
Andy Dick,7/2/17,1808
Andy Dick,7/9/17,2216
Andy Dick,7/16/17,1346
Andy Dick,7/23/17,1123
Andy Dick,7/30/17,1222
Andy Dick,8/6/17,1156
